restaurant_id,name,description,address,image_url,latitude,longitude
90932f8e-5a3f-4635-8112-5d6dddf695e2,Miller Ltd Restaurant,"Soul Food, Cafe, Breakfast, Dessert","2952 Colleen Village Apt. 760, Koreatown, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/92e75b46-6278-458b-9036-e3d5b722dc00.png",29.7234313,-95.3782919
fd0d7e50-4f7c-47e0-a2f4-edccefe2e897,Horton Ltd Eatery,La fiesta resturant & cantina,"03876 Thomas Street, Westwood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d202dd0f-fd2b-4b98-9157-29d8a9bf4a8a.png",29.7763934,-95.387658
0e586481-a07d-47bc-a089-69057fe761a7,"Edwards, Wilson and Fields Restaurant","American (New), Cafes, Breakfast, Lunch","81076 Alex Fort, Pacific Palisades, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/Black_Walnut_Cafe_logo_.png",29.761883,-95.4180386
019254fa-3da4-4637-863b-d22158b3e37e,Garcia-Donovan Cafe,Reaux of Sweets,"8722 Kevin Mall Apt. 381, Pacific Palisades, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/2930950a-f729-4a26-bd6b-b261dbb6d0f9.png",29.7226889,-95.3704827
0e50b0f6-e0c8-4ec3-bdd3-7d5956d94ab5,Jenkins-Orr Kitchen,"Asian, Poke, Japanese, Sushi Bars","98159 April Isle, Venice Beach, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/443d089f-91e6-4012-aa0e-3fc18cca011f.png",29.7581013,-95.3699503
6e0523da-0f9b-4929-95d7-46650453e953,Jones LLC Kitchen,"Mexican, Fast Food, Late Night","109 Mcintosh Streets, Silver Lake, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/946112c1-9c44-4e21-b18c-0242d4da306c.png",29.7757646,-95.3819373
f5111348-e467-4da8-9c43-953630692271,Russell Ltd Eatery,"Bakery, Burgers, Sweets, Wraps, Fries","071 Eric Center Suite 774, Beverly Hills, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/89e74080-3454-43ad-89bc-b434479f390a.png",29.7594315,-95.3648084
85111cfa-7774-4e4a-be89-23408235d9f8,Johnson Group Bistro,"Poke, Hawaiian","79376 Sergio Overpass Apt. 464, Pasadena, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d7b8fb08-de94-42be-b8a6-4fd15cdb0df0.png",29.7706734,-95.4069007
1ab0e6a9-dc71-47cf-be08-467454e11481,"Li, Hall and Sanford Grill",Pizza Restaurant,"813 Michael Centers, Westwood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/cbfe264d-134f-40e1-9b77-62d7567b8347.png",29.7506765,-95.375564
c39cd115-e18c-4fe1-b94c-662b498cdf2e,"Baird, Williams and Mcclain Cafe","dessert, desserts, ice cream, frozen yogurt, cake, catering","615 Galloway Orchard, Mid-Wilshire, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/7208446b-ac01-4113-add1-b49be05bddb5.png",29.775552,-95.382718
665837b0-ad7d-4e06-b696-7858eb26ddb0,Brooks Group Restaurant,On The Kirb,"51888 Martinez Union Suite 620, Marina del Rey, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/8119a8cc-f035-4c9c-9a71-55e9208146d9.png",29.7487137,-95.3787639
a49658e5-19b5-40fa-bf5b-247696a04b0b,Pham-Weiss Eatery,"Tex-Mex, Sandwich, Takeout, Pickup, Lunch, Breakfast, Mexican, Tacos","47373 Brown Plains Apt. 884, Hollywood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ab1f1dcb-7e32-4914-bd6d-1f0495448c9e.png",29.760042,-95.362112
3abaa34a-b3ea-438d-8619-2bfb5241bb1f,"Lee, Gonzalez and Carter Grill","Smoothies, Healthy, Juice Bars & Smoothies, Wraps, Toast, Sandwiches, Juice, Breakfast and Lunch, Breakfast, Salads & Sandwiches","3376 Phyllis Cape, Hollywood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d4bf0696-e8c8-47bc-a050-f77e1316bd14.png",29.7904035,-95.3979767
b4ae6d18-5b10-4296-9486-9ba950a75ebb,"Henson, Barker and Wise Bistro","Ice Cream, Milk Shakes, Desserts, Snacks, Juice","89383 Terry Walk, Culver City, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3c3c9d22-98b5-44fb-9a6a-8ba173342270.jpg",29.717034,-95.4147162
5bd3e429-d649-4c12-a48a-99e24b3b0cee,Dominguez-Chapman Bistro,"Teriyaki, Chicken, Gluten-Free, Dessert","92409 Amy Heights Apt. 738, West Hollywood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/4a91e856-5e9c-4f5a-aac4-f5a7e9b2f045.png",29.7226889,-95.3704827
ee56ad3f-5f79-478f-bd87-9793a5ffa205,Stewart-Yoder Bistro,"Tex-Mex, Sandwich, Takeout, Pickup, Lunch, Breakfast, Mexican, Tacos","127 David Harbor Apt. 060, Koreatown, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ab1f1dcb-7e32-4914-bd6d-1f0495448c9e.png",29.760042,-95.362112
5f89b799-eee5-48eb-ab06-ee238eb636f6,"Morse, Johnson and Thomas Kitchen","Italian, Pizza, Calzones, Sandwiches","172 Angela Islands, Malibu, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/e9c65f7c-e05b-4c5c-999b-9babe8ea34e0.png",29.8027026,-95.4329497
1dea5cee-2645-4f3b-b4fa-75f9313714ef,"Davis, Smith and Rodriguez Bistro","Halal, Birria, Quesadillas, Fries, Tacos, Nachos, Mexican, Fast Food","2274 Danielle Ridge Apt. 921, Silver Lake, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3914cdf9-3499-4b21-82b5-e4b8085f0e6e.png",29.7426555,-95.4034414
e1d33838-a89e-4118-9f5a-27af3021b429,Hernandez-Campbell Eatery,"Donuts, Kolaches, Fast Food, Smoothies, Pastries, Bakery","26374 John Loaf Apt. 952, Culver City, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/94c5f800-b53f-4447-a07e-6ae634e4e7cc.png",29.8117452,-95.399731
857967fb-0d99-4339-8958-4b03deb6781a,"Molina, Black and Meyers Restaurant","Smoothies, Tacos, Coffee, Sandwiches","4528 Garza Fields, Chinatown, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9206bbe3-fce8-45ae-8c15-a0420dc3a9f2.png",29.7412793,-95.4340316
5175f9cd-21ff-44e9-9f38-07cacdb68064,"Hall, Robinson and Lopez Eatery",DUPSY’S A Modern African Kitchen,"30266 Haley Vista Apt. 116, Marina del Rey, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/5dd75c88-9572-45e4-84d9-17546b14e9e6.jpeg",29.7226889,-95.3704827
d57effc9-1904-479c-867d-c436ca8ca137,Ramirez PLC Cafe,"Pickup, Catering, Vegetarian, Vietnamese, Sandwiches, Takeout, Asian","87398 Eric Square Suite 505, Downtown LA, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3b02e0a4-15a9-4d93-90da-14668c2d91fd.png",29.7567373357365,-95.3407020772071
542abd80-041e-42be-b982-2dcf751458b7,"Sweeney, Rodriguez and Hall Bistro","Thai, Asian","42211 Espinoza Park, Downtown LA, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/6c0ba1de-25e3-4485-8a8c-4182b5875edf.png",29.7601874,-95.3986191
9e357124-5e33-4aef-80de-9a6343c5ef2f,Gonzalez Group Kitchen,"Ice Cream, Milk Shakes, Desserts, Snacks, Juice","180 Jeffrey Drive, Malibu, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3c3c9d22-98b5-44fb-9a6a-8ba173342270.jpg",29.717034,-95.4147162
e6d6e5f2-3f6e-408c-893b-e9740b14a82b,Rose-Thomas Kitchen,"American (Traditional), Steakhouses","987 Ewing Plaza, Hollywood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/a39fbc1e-122d-432d-8b19-c8b64d9e431a.png",29.7669988,-95.4090417
e7201a41-65d6-4e73-b651-228344e6b8fc,Payne PLC Cafe,Heaven in a jar,"32450 Lowe Dale Suite 632, Little Tokyo, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/1e6f2da8-0afd-4108-b580-1c59d26afc84.jpg",29.7226889,-95.3704827
0e5775e0-4845-49d1-a239-839dee1253cc,"Ritter, Reed and Gomez Cafe",El Taco Rico,"76997 Brenda Causeway, Beverly Hills, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/1edf680d-ee79-4935-8038-b64cffe2c56c.png",29.7462295,-95.3622859
d0a11f40-18bb-469a-b1c4-f0f920d5a8b3,Mcknight-Smith Cafe,"Dessert, Breakfast, Pickup, Sweets, Coffee, Takeout, Lunch","2602 Lee Turnpike Suite 631, Brentwood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/e9d693f9-a73c-4797-84a5-f547a360b00c.png",29.7322442,-95.4405719
afd13298-5b4c-4202-bec7-8d2ff5764b69,Huff-Lane Kitchen,Coffee Shop & Bar,"44645 Wanda Knolls, Pasadena, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/e719fe28-0bef-4c61-bfb3-c9c1d9b05f1f.png",29.8032465,-95.3985567
a95873d5-de39-47ab-86d4-f94b145a663e,Davis and Sons Eatery,Hawaiian-inspired bowls concept.,"69432 Reid Ranch, Hollywood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/updated_logo_9562.jpg",29.7226889,-95.3704827
21ee9e3d-57a8-4e9d-b23f-6f759c444b8f,Kim and Sons Eatery,"Donuts, Kolaches, Fast Food, Smoothies, Pastries, Bakery","962 Katherine Run, Westwood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/94c5f800-b53f-4447-a07e-6ae634e4e7cc.png",29.8117452,-95.399731
b0e52f0f-34dd-4391-bda0-84e1a01ab4ec,Fuller-Hall Bistro,Roast And Brew Cafe,"22820 Chad Fork Apt. 098, Westwood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ab637eb1-9dab-4a80-bcc8-8dfae64bd28e.jpg",29.8030393,-95.41578
aa401962-f1c8-4997-947d-7963ac064861,Harris-Mueller Grill,"Coffee & Tea, Breakfast, Lunch, and Sweets","03247 Stephenson Mountains, Westwood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/2c09d946-5237-4271-9f64-a23a83b3e8a1.05",29.7505562,-95.3747082
81a13fb2-e4aa-4145-a174-c742d8b32c36,Terry-Schmidt Bistro,Seriously Fresh Mex,"57099 Evan Wells Suite 288, Los Feliz, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/53ee0545-c5ef-4d60-93f7-91f071c17f0c.jpg",29.7905435,-95.3897947
86eaa153-c8c3-43d0-8560-1cd6cc7b6908,"Collins, Kramer and Smith Grill",Italian Cafe,"642 Melissa Hills Suite 268, Koreatown, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/Collinas__.gif",29.802468,-95.4061856
844e0c6e-6a7e-41c1-98bd-109e42566986,Lee PLC Bistro,"Noodles, Salads, Rolls, Bento Box, Nigiri, Grill, Japanese, Sushi Bars, Sashimi","3981 Martinez Stream, Manhattan Beach, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/72a8ae73-47e9-43de-908b-0e881a93756d.png",29.7449905,-95.3775664
be5545de-35f2-457a-9676-d9f754b4a9bb,"Reed, Hogan and Mann Kitchen","Donuts, Breakfast & Brunch, Bakeries","9312 Bell Brook, Chinatown, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/45c1a92e-637a-4fbf-8ed4-7e74b4104429.png",29.7529896,-95.392387
b86b5ee9-53c8-47e0-a7c7-d335d84f2ca6,Le PLC Bistro,"Pickup, Catering, Vegetarian, Vietnamese, Sandwiches, Takeout, Asian","4404 Amy Knolls, Brentwood, Los Angeles, CA","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3b02e0a4-15a9-4d93-90da-14668c2d91fd.png",29.7567373357365,-95.3407020772071
